,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-09-30,54.180809020996094,166.33445739746094,86.79550170898438,110.28754425048828,376.0252685546875,112.7000732421875,147.783935546875,42.28362274169922,94.99202728271484,128.5300750732422,36.78542709350586,183.23489379882812,205.45217895507812,152.5642852783203,109.74620819091797,45.20539474487305,112.74542999267578,101.66314697265625,46.62902069091797,191.16476440429688,111.93260955810547,69.00091552734375,132.7944793701172,88.89130401611328,109.8828353881836,132.7764434814453,201.92015075683594,166.0780029296875,46.046390533447266,36.619239807128906
2019-10-01,54.330787658691406,166.05935668945312,86.78250122070312,108.81431579589844,370.5599060058594,109.18464660644531,147.03724670410156,40.85448455810547,92.91758728027344,127.7706527709961,35.48847579956055,179.22055053710938,204.61978149414062,148.046875,108.41795349121094,44.529903411865234,113.27702331542969,99.81456756591797,46.808895111083984,186.09873962402344,107.83383178710938,68.53367614746094,130.92237854003906,87.33910369873047,109.41461181640625,129.9725341796875,201.81790161132812,168.27938842773438,45.65733337402344,36.363136291503906
2019-10-02,52.968841552734375,162.63829040527344,85.6614990234375,105.2337875366211,363.06842041015625,107.03430938720703,143.5825958251953,39.844669342041016,89.9380874633789,127.36627960205078,34.68560791015625,175.29466247558594,199.72303771972656,145.2426300048828,106.93124389648438,43.32805252075195,115.02859497070312,97.82777404785156,45.46415710449219,183.6503143310547,105.97510528564453,66.90251922607422,128.61090087890625,86.59140014648438,106.96747589111328,127.15068054199219,201.3905487060547,163.97320556640625,44.94023513793945,35.82933044433594
2019-10-03,53.418800354003906,165.56939697265625,86.22100067138672,105.34610748291016,367.7234191894531,107.10568237304688,146.3502960205078,40.57759094238281,90.62689208984375,126.3898696899414,34.97896194458008,174.40162658691406,200.83877563476562,145.639404296875,107.18029022216797,43.88950729370117,114.32272338867188,97.6884536743164,46.115116119384766,186.9979705810547,105.68914031982422,67.820556640625,130.1678466796875,87.28231048583984,107.550537109375,126.56134033203125,200.09902954101562,166.90834045410156,45.01652145385742,35.88796615600586
2019-10-04,54.91621780395508,168.12232971191406,86.98249816894531,107.08706665039062,371.3110046386719,107.99794006347656,147.37574768066406,40.97422409057617,91.18756103515625,128.4807586669922,35.00212097167969,177.54942321777344,201.8304901123047,147.5419464111328,107.91233825683594,44.670265197753906,116.47513580322266,99.80435180664062,46.71467590332031,188.4759521484375,106.09086608886719,69.67304992675781,131.92526245117188,88.08680725097656,109.54714965820312,129.44564819335938,204.224365234375,169.9111328125,45.69546890258789,36.45878601074219
2019-10-07,54.92831039428711,169.48043823242188,86.63300323486328,106.37571716308594,372.1412048339844,107.29305267333984,148.142333984375,41.18979263305664,90.71499633789062,129.1020965576172,34.870887756347656,177.19570922851562,200.7767791748047,147.1361846923828,106.621826171875,44.40708923339844,116.03943634033203,99.58666229248047,46.140804290771484,188.68072509765625,104.5248794555664,69.17305755615234,130.97015380859375,88.18145751953125,108.52233123779297,127.82933807373047,205.5623321533203,168.86834716796875,45.96247100830078,36.171836853027344
2019-10-08,54.284820556640625,168.54351806640625,85.27549743652344,105.33674621582031,369.7297058105469,105.25872802734375,145.26512145996094,39.9998779296875,89.47351837158203,126.70548248291016,33.85185241699219,174.5165252685547,200.7147979736328,143.0245361328125,104.4332275390625,43.62632369995117,114.8891372680664,97.36629486083984,45.892417907714844,187.9595489501953,102.6321029663086,68.27139282226562,129.58518981933594,86.83748626708984,106.8349609375,125.57907104492188,204.5124053955078,166.47389221191406,45.55815887451172,36.27983474731445
2019-10-09,54.921051025390625,169.06784057617188,86.09950256347656,106.62842559814453,370.57965087890625,106.5703353881836,146.40008544921875,40.38789367675781,90.61888885498047,127.55366516113281,33.97537612915039,174.05677795410156,202.724853515625,144.1245574951172,105.40676879882812,44.28427505493164,112.60599517822266,98.07157897949219,46.106544494628906,189.49090576171875,102.80232238769531,69.00091552734375,132.03993225097656,87.56627655029297,107.76258850097656,126.17735290527344,206.34280395507812,168.84906005859375,45.64680099487305,36.69636154174805
2019-10-10,55.661293029785156,170.77838134765625,86.01300048828125,107.65802001953125,366.6659240722656,109.47015380859375,145.76290893554688,39.792938232421875,91.78025817871094,127.56352233886719,34.67789077758789,176.72706604003906,205.089111328125,145.14346313476562,106.50860595703125,44.83694839477539,112.4665756225586,99.44734191894531,45.960933685302734,188.53826904296875,103.7010498046875,68.65664672851562,132.861328125,88.02054595947266,107.72721862792969,126.40950775146484,207.8759002685547,168.84906005859375,46.11698532104492,36.906192779541016
2019-10-11,57.14180374145508,172.6006622314453,86.59600067138672,108.94970703125,370.5401611328125,114.56491088867188,148.70982360839844,40.14646530151367,93.02972412109375,128.23419189453125,36.38399124145508,180.98013305664062,207.78988647460938,147.45175170898438,107.7387466430664,45.69667053222656,114.44471740722656,101.12787628173828,45.652591705322266,186.09873962402344,107.64319610595703,69.13207244873047,133.4153289794922,88.85343933105469,106.97628784179688,127.33824920654297,206.33351135253906,170.95384216308594,46.19406509399414,37.1005744934082
2019-10-14,57.05954360961914,174.39712524414062,86.82150268554688,108.94032287597656,368.8204345703125,114.54705047607422,148.70982360839844,39.70671081542969,93.05374145507812,127.9185791015625,36.14466857910156,181.98814392089844,207.36485290527344,146.95584106445312,107.19537353515625,45.30189895629883,113.91313934326172,101.3978042602539,45.652591705322266,185.52891540527344,109.2840576171875,69.41895294189453,133.2911834716797,89.79989624023438,106.05750274658203,127.79368591308594,204.95838928222656,171.24356079101562,45.939701080322266,36.77043151855469
2019-10-15,56.926490783691406,175.91856384277344,88.36900329589844,110.06352996826172,366.6263732910156,116.91151428222656,152.06492614746094,39.97401428222656,93.15786743164062,127.97775268554688,36.43803024291992,182.5540313720703,208.6399688720703,147.5509490966797,107.91988372802734,46.18793869018555,115.76057434082031,104.45410919189453,45.83245849609375,184.49612426757812,110.9657974243164,69.70584106445312,135.22059631347656,89.71471405029297,103.53970336914062,127.97225189208984,221.68287658691406,172.5856170654297,46.67196273803711,36.881507873535156
2019-10-16,56.696678161621094,174.67221069335938,88.87149810791016,109.89505767822266,368.0791931152344,116.16202545166016,146.3204345703125,40.34477615356445,92.19673919677734,129.0626678466797,36.37626647949219,183.4029083251953,208.8878631591797,147.5419464111328,107.24821472167969,46.01248550415039,117.7910385131836,104.21029663085938,45.81532669067383,185.4577178955078,110.42109680175781,69.22222900390625,134.1125946044922,89.79989624023438,103.83123779296875,127.31144714355469,220.19627380371094,171.73594665527344,46.4715576171875,36.84756088256836
2019-10-17,56.91682815551758,174.9730682373047,89.3740005493164,111.47688293457031,364.74859619140625,117.83946990966797,145.5239715576172,40.551727294921875,92.38898468017578,130.55191040039062,36.90894317626953,182.5540313720703,209.65830993652344,151.04949951171875,101.32392883300781,45.494895935058594,118.66242218017578,104.79370880126953,46.07228469848633,184.1667022705078,111.34706115722656,68.6894302368164,133.4248809814453,90.44348907470703,103.6943130493164,125.44509887695312,226.4028778076172,171.80352783203125,46.56405258178711,36.9771614074707
2019-10-18,57.190181732177734,174.25103759765625,87.87550354003906,109.28665161132812,339.9813232421875,117.5427017211914,143.45315551757812,40.27579879760742,91.900390625,129.0922393798828,37.024749755859375,182.60708618164062,210.68540954589844,149.29119873046875,101.19564056396484,45.0562629699707,111.28142547607422,104.97654724121094,46.92023849487305,185.6357421875,111.0474624633789,69.41075897216797,131.2471466064453,90.9545669555664,104.44115447998047,126.23094940185547,227.95457458496094,169.65045166015625,47.05735778808594,36.76118087768555
2019-10-21,58.18201446533203,174.43148803710938,89.28299713134766,111.43008422851562,327.1925048828125,118.9095687866211,143.9111328125,40.86213302612305,93.39817810058594,128.4709014892578,36.37626647949219,185.02099609375,209.5962677001953,152.32984924316406,100.05606079101562,45.73175811767578,111.56028747558594,107.580078125,46.449161529541016,186.83773803710938,112.98110961914062,69.27960968017578,132.22142028808594,91.06816101074219,105.87256622314453,126.72208404541016,226.63514709472656,170.3455810546875,46.82612228393555,36.94630432128906
2019-10-22,58.0489616394043,176.064697265625,88.2864990234375,111.01824188232422,333.0631103515625,120.22252655029297,141.70094299316406,41.000091552734375,94.35127258300781,130.58151245117188,36.14466857910156,185.33047485351562,210.03904724121094,152.32984924316406,101.09751892089844,45.62648391723633,112.58858489990234,108.6597900390625,46.12367248535156,177.41790771484375,114.07051086425781,66.6402359008789,130.25376892089844,90.4813461303711,108.62876892089844,116.2206802368164,231.80116271972656,164.96768188476562,46.8415412902832,36.89693832397461
2019-10-23,58.82791519165039,174.7667236328125,88.1084976196289,109.03392791748047,336.522216796875,121.70629119873047,144.4885711669922,40.56896209716797,94.49546813964844,129.3289337158203,36.461181640625,186.85128784179688,207.7987518310547,153.15037536621094,101.41450500488281,45.37207794189453,113.19857788085938,108.94712829589844,46.80031967163086,177.36448669433594,114.9011459350586,67.92713928222656,131.08474731445312,87.376953125,109.3578109741211,118.01557922363281,230.24026489257812,165.4118194580078,46.92633056640625,36.825958251953125
2019-10-24,58.92467498779297,174.54327392578125,89.03900146484375,108.95907592773438,340.5248718261719,120.3663558959961,147.46533203125,40.017120361328125,94.1750717163086,128.4709014892578,38.19045639038086,186.61253356933594,207.10804748535156,154.6020965576172,101.18054962158203,45.819488525390625,111.1071548461914,108.86875915527344,46.77463150024414,174.52432250976562,110.22364044189453,67.68939971923828,133.6636505126953,86.60086822509766,110.94927215576172,117.36367797851562,227.183349609375,170.08493041992188,46.69508361816406,36.74883270263672
