Tickers,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
DOW,0.0001837681928909106,0.00013052954129699691,0.00013945332136398904,0.00033972699541965403,0.0003927832367156379,0.000333494574092474,0.00019207892495177626,0.0001901295339655895,0.0003120059253957976,0.00024380226217097394,0.000530633187638367,0.00030620214656799395,0.00020548715086850385,0.00024461499795495824,0.00021699426572186883,0.0002520378869138223,9.781194071298554e-05,0.0003081218398162208,0.00014641836324725505,0.0001469606912079343,0.00022550432214893425,9.582588613490593e-05,0.00016903473766360664,0.00022269980978922616,9.854062073282559e-05,0.00023906889612975772,0.0001569332423560749,0.000213269186852816,0.00011439062848226055,8.92722295506414e-05
GS,0.00019716197506729427,0.00011856848798779006,0.0001624181945247698,0.00035921481607823044,0.00038478161987664557,0.00026639173537327393,0.00020467589079366615,0.00018129044897095026,0.000282443991742396,0.0002525991383872466,0.00030620214656799395,0.00041658520802444145,0.0002166983791623288,0.00023601623377909528,0.00018822047280583307,0.000247212807268609,9.912107712819668e-05,0.0003377446940193847,0.00013193540227406672,0.00015674178232821557,0.00019956216397982595,9.503954415389856e-05,0.00018786268316257126,0.00021644809994928214,9.627637896750257e-05,0.0002229666150008287,0.0001779175672124587,0.0002111208116638017,9.772063010064689e-05,7.602959440786658e-05
HD,0.0002057830602195913,0.00012489973347302972,0.0001783855093000067,0.0002274708551777987,0.0002690069757219038,0.000166906493785064,0.00021133635188752117,0.00016958660235445424,0.00017856629602307585,0.0001903404894797507,0.00020548715086850385,0.0002166983791623288,0.0003364059039298323,0.00017579705484137786,0.00015115423330250998,0.00022472890275960944,9.295722102568919e-05,0.00019538939591125476,0.00012047298634534106,0.00015718258097891815,0.0001649958035326754,8.837648109241181e-05,0.00020663342723383459,0.0002098786800596907,0.0001138282418474776,0.00016937692717376688,0.00016684641961973323,0.00018056696661729554,8.672167929181385e-05,0.00010381680169856087
HON,0.00016652805080298098,0.00011011828982986359,0.00011063744693620135,0.00028510744447347055,0.00033802642103285816,0.00021874683458660875,0.00015353515315947653,0.00016521394846454713,0.00023010088825852563,0.0002099922619062585,0.00024461499795495824,0.00023601623377909528,0.00017579705484137786,0.0002884534470550615,0.00015844971600364753,0.00020127405482366697,9.737816650665594e-05,0.00023865215187707635,0.000137499730356219,0.0001515986676856229,0.0001878733191982477,9.242882849497751e-05,0.00015904406125004882,0.00019330386164293745,9.789848157762004e-05,0.0001798529038205112,0.0001595720300513152,0.0001896039888529163,8.307576916395608e-05,6.350587846437454e-05
IBM,0.0001356232989451116,0.00010909116017894218,9.685928394208473e-05,0.00021695334032687094,0.00024364877951369405,0.00018472784725209512,0.0001345052339147299,0.00016160307063269112,0.0001865275818881954,0.00015134938051217318,0.00021699426572186883,0.00018822047280583307,0.00015115423330250998,0.00015844971600364753,0.00027961357906542127,0.00019334405673253807,9.930382934862467e-05,0.0001959927143911257,0.0001211433601499711,0.00011947578278724848,0.00015726232761701267,8.811087164106627e-05,0.00013474326399774963,0.00013695706146172582,0.00010062259124688961,0.00015137837825438726,0.00013083572115197444,0.00015368401820960856,9.255213442276019e-05,7.038952823174512e-05
INTC,0.000271106838910802,0.00015049332891775493,0.00026144694619189353,0.0002681698523525934,0.000345425015025319,0.00020532816316081454,0.0002774821732089451,0.00022425164764184122,0.0002084931568035309,0.00023012095347922702,0.0002520378869138223,0.000247212807268609,0.00022472890275960944,0.00020127405482366697,0.00019334405673253807,0.0007274699976423035,9.127619115558626e-05,0.0002272258270756603,0.00011248034541535309,0.00013594339274994815,0.0001714308883470405,7.888978935441753e-05,0.0002783455821626767,0.00020934781808881585,0.00011284118507171044,0.0001680065891525253,0.00015352240455183364,0.00020498940364779684,9.224249041994767e-05,0.00010755790847223798
JNJ,9.381899792885205e-05,0.00011021036049236288,5.3417448716848766e-05,0.00010693136373137789,0.00011037829944299943,8.813430498346002e-05,7.277668012658361e-05,0.00010470669377366276,0.00010174782739561879,7.718178626453085e-05,9.781194071298554e-05,9.912107712819668e-05,9.295722102568919e-05,9.737816650665594e-05,9.930382934862467e-05,9.127619115558626e-05,0.0001568177079899166,0.00010317104023131396,9.344939946456861e-05,8.286603937054528e-05,9.959385304661165e-05,9.815883726560506e-05,9.106369329480624e-05,8.347857954753423e-05,9.832188536264744e-05,8.979113623408146e-05,0.00012198484643075853,9.569583642583931e-05,6.940952415224067e-05,6.977282809275537e-05
JPM,0.00017214458055968949,0.00011376797114840254,0.00012095603548427318,0.00037248887469934293,0.00038331869260705337,0.00026001132319523315,0.0001764021504758016,0.00017607967301939813,0.0002932166664246013,0.00024234633299879146,0.0003081218398162208,0.0003377446940193847,0.00019538939591125476,0.00023865215187707635,0.0001959927143911257,0.0002272258270756603,0.00010317104023131396,0.00040295341107682807,0.00014415616961425016,0.00016089240706161796,0.00018826015581670705,0.00010527695668264857,0.00016604416004071805,0.0002025471701830709,9.963431197831775e-05,0.00024355171791188332,0.00017939104363761706,0.00021615666466617917,0.00010171293097659401,7.101195638427581e-05
KO,0.00011681909232752961,9.08612842055071e-05,6.793646528606228e-05,0.00016837832648191004,0.00019165942859661922,0.0001153923514806831,0.00010231139362628816,0.00011556999674527088,0.0001334609498578135,0.00012574948508445847,0.00014641836324725505,0.00013193540227406672,0.00012047298634534106,0.000137499730356219,0.0001211433601499711,0.00011248034541535309,9.344939946456861e-05,0.00014415616961425016,0.0001723375568354666,0.00011475182850421192,0.00011564692834646117,8.541981002868408e-05,0.00011099513102734294,0.00012220888493644574,0.00011410691609575734,0.00012752982030550685,0.00012401260066990355,0.00013104506198345316,8.386455670479295e-05,7.350076409402671e-05
MCD,0.00014005567179781208,9.099945156107174e-05,9.066532730527373e-05,0.00019346605825984353,0.00022892362847725262,0.00011707266060594963,0.00014478936979348057,0.0001307422334306224,0.00015958630905777248,0.00014524558448611663,0.0001469606912079343,0.00015674178232821557,0.00015718258097891815,0.0001515986676856229,0.00011947578278724848,0.00013594339274994815,8.286603937054528e-05,0.00016089240706161796,0.00011475182850421192,0.00021890290974238208,0.00011467010907560929,9.295115629244231e-05,0.00013887281312708374,0.00015639930756947232,9.542543102518798e-05,0.00015523441308841127,0.00013723733732416162,0.00015926541465971836,6.615817611586065e-05,6.543691122076248e-05
